,Date,Country,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
115,1594439457,AU,batemans bay,86,68,-35.72,150.18,61.0,1.01
116,1594439457,OM,salalah,90,94,17.02,54.09,80.6,8.05
117,1594439315,MY,georgetown,20,74,5.41,100.34,86.0,2.24
118,1594439349,BR,cururupu,24,96,-1.83,-44.87,74.32,3.67
119,1594439457,US,humboldt,1,87,40.67,-123.92,62.01,10.29
120,1594439457,GB,margate,0,79,51.38,1.39,55.99,1.99
121,1594439457,SO,bosaso,100,41,11.28,49.18,92.8,13.35
122,1594439457,GF,camopi,80,97,3.17,-52.32,71.51,1.99
123,1594439457,NA,opuwo,0,70,-18.06,13.84,39.49,4.72
124,1594439452,MX,mazatlan,90,70,23.22,-106.42,87.01,8.05
125,1594439457,BR,alta floresta,0,56,-9.88,-56.09,68.97,1.95
126,1594439457,CI,bonoua,20,94,5.27,-3.6,77.0,6.93
127,1594439318,US,hilo,90,58,19.73,-155.09,82.4,9.17
128,1594439457,BR,governador valadares,51,83,-18.85,-41.95,66.92,3.15
129,1594439457,RU,leningradskiy,22,70,69.38,178.42,46.24,15.28
130,1594439457,US,saint simons,1,89,31.14,-81.39,84.2,8.05
131,1594439457,CA,inuvik,75,66,68.35,-133.72,51.8,5.82
132,1594439457,GL,tasiilaq,0,93,65.61,-37.64,37.4,4.7
133,1594439457,ES,muros,0,78,42.78,-9.06,62.01,3.0
134,1594439457,NZ,kaitangata,15,47,-46.28,169.85,57.0,4.0
135,1594439457,US,kahului,20,45,20.89,-156.47,87.8,27.51
136,1594439458,RU,aykhal,40,56,66.0,111.5,68.0,8.95
137,1594439458,KZ,zhanakorgan,0,16,43.91,67.25,94.51,11.16
138,1594439458,IT,cabras,71,61,39.93,8.53,69.01,5.01
139,1594439458,AU,port augusta,90,81,-32.5,137.77,53.01,10.29
140,1594439458,BR,sao joao da barra,28,74,-21.64,-41.05,68.32,6.67
141,1594439458,NZ,ahipara,69,73,-35.17,173.17,57.04,6.91
142,1594439458,LK,kalmunai,87,67,7.42,81.82,84.7,1.99
143,1594439287,CA,sept-iles,75,88,50.2,-66.38,62.6,10.29
144,1594439458,CO,manaure,74,74,11.78,-72.44,81.52,19.17
145,1594439458,CN,wanning,100,71,18.8,110.4,88.39,13.98
146,1594439458,PR,vieques,40,78,18.43,-65.83,84.2,4.7
147,1594439458,AU,port hedland,0,15,-20.32,118.57,80.6,24.16
148,1594439458,NZ,te anau,87,77,-45.42,167.72,47.23,7.74
149,1594439458,BR,acarau,91,85,-2.89,-40.12,75.9,9.86
150,1594439458,GL,nanortalik,99,94,60.14,-45.24,43.29,0.85
151,1594439458,US,orange,20,64,33.7,-117.77,77.0,4.7
152,1594439458,FO,klaksvik,80,87,62.23,-6.59,42.8,1.12
153,1594439458,RO,sacueni,15,88,47.35,22.1,66.2,6.93
154,1594439319,US,goldsboro,1,88,35.38,-77.99,80.6,9.17
155,1594439458,MX,ixtapa,90,79,20.7,-105.2,86.0,5.82
156,1594439458,PG,kavieng,33,69,-2.57,150.8,85.64,10.78
157,1594439458,CA,la ronge,75,88,55.1,-105.28,62.6,3.36
158,1594439458,RU,ust-kulom,0,58,61.69,53.69,66.99,8.25
159,1594439459,ES,pinos puente,90,56,37.25,-3.75,70.0,0.87
160,1594439459,BB,bathsheba,40,74,13.22,-59.52,82.4,20.8
161,1594439459,JM,black river,20,79,18.03,-77.85,84.2,6.93
162,1594439293,MX,cabo san lucas,1,76,22.89,-109.91,84.99,3.0
163,1594439430,US,bethel,90,94,41.37,-73.41,71.6,10.29
164,1594439459,AU,new norfolk,100,74,-42.78,147.06,50.0,8.99
165,1594439459,SA,turayf,0,50,31.67,38.66,75.2,9.17
166,1594439459,IR,taft,0,21,31.75,54.21,82.4,4.7
167,1594439459,PT,ponta do sol,0,79,32.67,-17.1,69.01,3.8
168,1594439459,CL,lebu,77,72,-37.62,-73.65,48.16,7.09
169,1594439459,RU,cherskiy,15,62,68.75,161.3,61.18,13.0
170,1594439459,AU,robe,23,78,-37.18,139.75,53.08,3.87
171,1594439459,PH,basco,5,66,20.45,121.97,85.39,1.92
172,1594439322,US,hamilton,40,73,39.18,-84.53,78.01,6.93
173,1594439459,RU,tyret pervaya,42,52,53.67,102.31,77.4,4.38
174,1594439459,CA,whitehorse,75,58,60.72,-135.05,59.0,8.05
175,1594439459,IR,bandar-e anzali,75,88,37.47,49.46,77.0,4.94
176,1594439459,PT,ribeira grande,10,78,38.52,-28.7,68.25,10.45
177,1594439459,CA,yellowknife,20,56,62.46,-114.35,70.0,5.82
178,1594439459,BR,cidreira,9,73,-30.18,-50.21,58.24,5.1
179,1594439459,MV,thinadhoo,32,74,0.53,72.93,83.88,9.37
180,1594439459,CA,saint-augustin,79,94,51.23,-58.65,57.42,9.71
181,1594439460,RU,teguldet,4,45,57.31,88.17,67.59,6.24
182,1594439460,RU,solnechnyy,31,51,50.72,136.63,74.8,6.2
183,1594439460,KZ,kentau,0,17,43.52,68.51,90.41,11.5
184,1594439460,GR,skiathos,0,88,39.16,23.49,66.99,1.99
185,1594439460,IN,lunglei,100,98,22.88,92.73,75.99,5.86
186,1594439460,CN,bijie,100,84,27.31,105.29,74.5,2.77
187,1594439460,CF,berberati,100,99,4.26,15.79,68.14,4.25
188,1594439460,US,kenai,75,63,60.55,-151.26,66.2,9.17
189,1594439460,NU,alofi,38,73,-19.06,-169.92,77.0,18.34
190,1594439460,GA,mayumba,89,90,-3.43,10.66,71.82,5.35
191,1594439460,MX,mapastepec,100,86,15.43,-92.9,76.19,2.66
192,1594439460,CA,tuktoyaktuk,75,87,69.45,-133.04,42.8,11.41
193,1594439460,BR,rio grande,100,93,-32.03,-52.1,53.01,9.04
194,1594439460,RU,salym,3,50,60.06,71.48,73.24,5.75
195,1594439460,US,spearfish,0,76,44.49,-103.86,66.99,8.03
196,1594439460,BR,envira,98,89,-7.3,-70.22,71.51,1.07
197,1594439460,HN,barra patuca,41,82,15.8,-84.28,80.51,10.22
198,1594439460,CA,saint-pie,100,59,45.5,-72.9,81.0,5.99
199,1594439381,US,san ramon,1,18,37.78,-121.98,82.4,6.93
200,1594439460,MU,mahebourg,75,88,-20.41,57.7,66.2,18.34
201,1594439461,ML,tessalit,72,40,20.2,1.01,84.74,6.02
202,1594439461,ID,padang,88,59,-0.95,100.35,86.83,4.07
203,1594439461,MX,nombre de dios,28,38,23.85,-104.23,75.0,5.57
204,1594439461,AU,carnarvon,0,25,-24.87,113.63,73.4,14.99
